,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
1755,11,100652,Yuri Alberto,Corinthians,ATA,8.73,12.6,1.88,23.776363636363634,6.7099567099567095,21.617697546745273,12.29198628856109,12.915454545454544,7.681145400019347,0.3888377787192181,0,7,43.9402014776439,21.018789127574593,21.018789127574593,visitante,0.0,2.425,0,3.2,4.225,3.2,0,0,0.3333333333333333
1150,11,105373,Gabriel Xavier,Bahia,ZAG,3.96,7.2,0.56,0.0,0.0,33.46719384142873,12.790211786786587,1.01,3.4266984505363527,0.5714885599760472,0,6,43.9402014776439,10.51178406615634,10.51178406615634,visitante,0.0,2.4000000000000004,0,5.05,5.9,5.05,0,0,0.0
1160,11,72605,Vitor Hugo,Bahia,ZAG,5.42,4.7,0.51,0.0,0.0,32.076727172362254,12.790211786786587,1.919090909090909,3.0790623758442592,0.30487027473349554,0,6,43.9402014776439,10.51178406615634,10.51178406615634,visitante,0.0,2.1166666666666667,0,2.5250000000000004,2.833333333333333,2.5250000000000004,0,0,0.0
1152,11,97900,Vitão,Internacional,ZAG,4.35,6.7,1.27,0.0,0.0,33.58715610683038,12.760961757536556,0.6990909090909091,3.3515225006736724,0.3872808452106388,0,10,43.9402014776439,34.33144561212136,34.33144561212136,visitante,0.0,3.6116666666666655,0,0.45,3.333333333333333,0.45,0,0,0.0
1179,11,124358,João Vitor,Coritiba,LAT,1.0,0.0,0.0,0.0,0.0,28.44770242487849,12.29198628856109,0.0,0.0,0.0,0,2,43.9402014776439,8.122911163715262,8.122911163715262,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
1785,11,121792,André,Grêmio,ATA,0.8799999999999999,2.0,0.33,0.0,0.0,28.605190899600014,12.29198628856109,1.3872727272727272,0.5447131696081178,0.34179760771127826,0,12,77.7399287162537,29.80558511461893,77.7399287162537,mandante,1.5333333333333332,0.0,0,2.0,0.05,2.0,0,0,0.0
1788,11,122486,Rayan,Vasco,ATA,3.63,2.0,-1.14,12.345,16.666666666666668,28.687983378652746,14.822652642420087,7.936666666666666,5.650978558167878,2.1751606978879705,0,0,39.426823352320774,29.80558511461893,39.426823352320774,mandante,2.225,0.0,0,2.0,12.5,2.0,0,0,0.0
1789,11,89695,Iury Castilho,Cuiabá,ATA,2.95,2.0,0.08,0.0,0.0,28.284258110364657,12.29198628856109,5.5699999999999985,1.8312335188983295,0.3186104185026416,0,8,43.9402014776439,30.270811806325217,30.270811806325217,visitante,0.0,4.816666666666666,0,1.5,1.05,1.5,0,0,0.0
1148,11,103575,Caetano,Corinthians,ZAG,2.7,7.7,1.04,0.0,0.0,30.512467724937906,12.544511541086342,0.0,2.0508851697784656,0.34713804713804713,0,7,43.9402014776439,21.018789127574593,21.018789127574593,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
1149,11,98484,Kanu,Bahia,ZAG,4.38,7.3,1.21,0.0,0.0,32.48112750489128,13.006662003236803,1.01,3.989537809561648,0.4828842741670396,0,6,43.9402014776439,10.51178406615634,10.51178406615634,visitante,0.0,2.1500000000000004,0,2.733333333333333,2.4,2.733333333333333,0,0,0.0
