,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1726,Mateus Carvalho,118752,Vasco,MEI,1.7,1.95,Grêmio,mandante,4.142857142857143,2.9214285714285717
1727,Andrey Santos,109591,Vasco,MEI,1.7,5.833333333333333,Grêmio,mandante,4.142857142857143,2.9214285714285717
1728,Thiago Dombroski,122293,Coritiba,ZAG,1.9666666666666668,-1.6,Bragantino,mandante,3.875,2.9208333333333334
1729,Denilson,115986,Cuiabá,MEI,4.471428571428571,2.3285714285714287,Flamengo,mandante,1.3333333333333333,2.902380952380952
1730,João Paulo,85425,Santos,GOL,2.7777777777777777,5.4375,Athletico-PR,mandante,3.025,2.9013888888888886
1731,Arthur Sales,111771,Bahia,ATA,2.9200000000000004,1.3,América-MG,mandante,2.875,2.8975
1732,Rafael Cabral,68940,Cruzeiro,GOL,4.277777777777778,4.275,Botafogo,mandante,1.5,2.888888888888889
1733,Sidimar,69189,Goiás,ZAG,0.27499999999999997,3.3,Fortaleza,mandante,5.5,2.8875
1734,Rezende,90449,Bahia,MEI,2.8999999999999995,2.8285714285714287,América-MG,mandante,2.875,2.8874999999999997
1735,Acevedo,104783,Bahia,MEI,2.8285714285714283,3.1125,América-MG,mandante,2.875,2.851785714285714
1736,Erick Marcus,121184,Vasco,ATA,1.54,4.25,Grêmio,mandante,4.142857142857143,2.8414285714285716
1737,Aránguiz,69325,Internacional,MEI,1.5999999999999999,1.05,Corinthians,mandante,4.077777777777778,2.838888888888889
1738,Kanu,98484,Bahia,ZAG,2.783333333333333,3.3500000000000005,América-MG,mandante,2.875,2.8291666666666666
1739,Jhegson Méndez,94786,São Paulo,MEI,1.2666666666666666,2.3333333333333335,Atlético-MG,mandante,4.388888888888889,2.827777777777778
1740,Medel,69355,Vasco,MEI,1.5,3.6,Grêmio,mandante,4.142857142857143,2.8214285714285716
1741,Léo Jardim,87008,Vasco,GOL,1.5,2.8125,Grêmio,mandante,4.142857142857143,2.8214285714285716
1742,Luan Polli,88916,Coritiba,GOL,1.75,-1.0,Bragantino,mandante,3.875,2.8125
1743,Marcos Felipe,85004,Bahia,GOL,2.75,5.625,América-MG,mandante,2.875,2.8125
1744,Alan Patrick,68685,Internacional,MEI,1.5375,3.6,Corinthians,mandante,4.077777777777778,2.8076388888888895
1745,Keiller,93834,Internacional,GOL,1.5,2.375,Corinthians,mandante,4.077777777777778,2.788888888888889
1746,Alemão,98219,Internacional,ATA,1.5,4.2,Corinthians,mandante,4.077777777777778,2.788888888888889
1747,Diego Gonçalves,90540,Goiás,ATA,0.06666666666666665,1.3571428571428572,Fortaleza,mandante,5.5,2.783333333333333
1748,Baralhas,99440,Internacional,MEI,1.45,3.566666666666667,Corinthians,mandante,4.077777777777778,2.7638888888888893
1749,Deyverson,92708,Cuiabá,ATA,4.185714285714286,6.044444444444444,Flamengo,mandante,1.3333333333333333,2.7595238095238095
1750,Andrey,93787,Coritiba,MEI,1.64,1.5166666666666666,Bragantino,mandante,3.875,2.7575
1751,Felipe Andrade,111839,Fluminense,ZAG,1.9333333333333333,0.0,Palmeiras,mandante,3.5555555555555554,2.7444444444444445
1752,Lucas Braga,99119,Santos,ATA,2.4333333333333336,0.7,Athletico-PR,mandante,3.025,2.729166666666667
1753,Ângelo,110415,Santos,ATA,2.4,2.8600000000000003,Athletico-PR,mandante,3.025,2.7125
1754,Rodrigo Pinho,86799,Coritiba,ATA,1.55,1.5666666666666664,Bragantino,mandante,3.875,2.7125
1755,Kevyson,118701,Santos,LAT,2.3,0.4,Athletico-PR,mandante,3.025,2.6624999999999996
1756,Kaio César,118844,Coritiba,ATA,1.4499999999999997,2.533333333333333,Bragantino,mandante,3.875,2.6624999999999996
1757,Luan,102909,São Paulo,MEI,0.925,0.9,Atlético-MG,mandante,4.388888888888889,2.6569444444444446
1758,Fransérgio,63024,Coritiba,MEI,1.4,2.1,Bragantino,mandante,3.875,2.6375
1759,Felipe Melo,38545,Fluminense,MEI,1.6833333333333333,0.2,Palmeiras,mandante,3.5555555555555554,2.6194444444444445
1760,Vitor Hugo,72605,Bahia,ZAG,2.3600000000000003,2.983333333333333,América-MG,mandante,2.875,2.6175
1761,Dodi,89883,Santos,MEI,2.1875,3.0142857142857147,Athletico-PR,mandante,3.025,2.60625
1762,Pedrinho,118304,Goiás,ATA,-0.3,0.0,Fortaleza,mandante,5.5,2.6
1763,Chancellor,93166,Coritiba,ZAG,1.3,0.9999999999999999,Bragantino,mandante,3.875,2.5875
1764,Lucca,122420,Internacional,ATA,1.0833333333333333,0.19999999999999998,Corinthians,mandante,4.077777777777778,2.5805555555555557
1765,Guga,101319,Fluminense,LAT,1.6,5.214285714285714,Palmeiras,mandante,3.5555555555555554,2.5777777777777775
1766,William,89275,Cruzeiro,LAT,3.5999999999999996,5.45,Botafogo,mandante,1.5,2.55
1767,Serginho,125471,Vasco,ATA,0.95,0.0,Grêmio,mandante,4.142857142857143,2.5464285714285717
1768,Rochet,105949,Internacional,GOL,1.0,9.0,Corinthians,mandante,4.077777777777778,2.538888888888889
1769,Galarza,108528,Vasco,MEI,0.9,3.06,Grêmio,mandante,4.142857142857143,2.521428571428572
1770,Miguelito,115025,Santos,MEI,2.0,0.5,Athletico-PR,mandante,3.025,2.5125
1771,Diego Costa,101728,São Paulo,ZAG,0.6,3.075,Atlético-MG,mandante,4.388888888888889,2.4944444444444445
1772,Matheus Dias,107809,Internacional,MEI,0.8500000000000001,0.20000000000000004,Corinthians,mandante,4.077777777777778,2.4638888888888895
1773,Bruno Viana,92291,Coritiba,ZAG,1.0499999999999998,0.76,Bragantino,mandante,3.875,2.4625
1774,Liziero,100761,Coritiba,MEI,1.0499999999999998,3.375,Bragantino,mandante,3.875,2.4625
1775,Alison,73974,Santos,MEI,1.9000000000000001,0.25,Athletico-PR,mandante,3.025,2.4625
1776,Júnior Urso,71829,Coritiba,MEI,1.0333333333333334,1.4333333333333333,Bragantino,mandante,3.875,2.4541666666666666
1777,Neris,83786,Cruzeiro,ZAG,3.4,7.050000000000001,Botafogo,mandante,1.5,2.45
1778,Everaldo,78117,Bahia,ATA,2.0142857142857142,1.9,América-MG,mandante,2.875,2.444642857142857
1779,Oliveira,94514,Cruzeiro,ZAG,3.3875,4.359999999999999,Botafogo,mandante,1.5,2.44375
1780,Carabajal,98723,Vasco,MEI,0.7000000000000001,2.8666666666666667,Grêmio,mandante,4.142857142857143,2.4214285714285717
1781,Marllon,70666,Cuiabá,ZAG,3.475,3.0500000000000003,Flamengo,mandante,1.3333333333333333,2.404166666666667
1782,Richard Coelho,86711,Cruzeiro,MEI,3.3,6.2,Botafogo,mandante,1.5,2.4
1783,Gabriel Novaes,109639,Goiás,ATA,-0.7,0.7,Fortaleza,mandante,5.5,2.4
1784,Allyson,124340,Cuiabá,ZAG,3.45,3.466666666666667,Flamengo,mandante,1.3333333333333333,2.3916666666666666
1785,Rodriguinho,118563,São Paulo,MEI,0.38,1.075,Atlético-MG,mandante,4.388888888888889,2.3844444444444446
1786,Ramiro,78715,Cruzeiro,MEI,3.266666666666667,4.333333333333333,Botafogo,mandante,1.5,2.3833333333333337
