,atleta_id,apelido,clube_id,xG,clube
442,110909,Guilherme Lopes,280,0.07789878797495264,Bragantino
443,115025,Miguelito,277,0.07690995660455538,Santos
444,104420,Reinaldo,293,0.07303132715782683,Athletico-PR
445,115404,Rwan,267,0.07184035995174476,Vasco
446,106950,Fernando,293,0.0703079003167856,Athletico-PR
447,85315,Cantillo,264,0.06825334296032333,Corinthians
448,101290,Ferreira,284,0.06335536563631027,Grêmio
449,69705,Nikão,283,0.06261616487962501,Cruzeiro
450,81121,Lucas Mugni,265,0.0594770140918007,Bahia
451,107044,Alexandre Jesus,266,0.05463249442510285,Fluminense
452,106829,Patryck,276,0.05455898613225199,São Paulo
453,121985,Giovanni Manson,266,0.05452770653277474,Fluminense
454,70171,Rafael,263,0.05154924402016518,Botafogo
455,118747,Ed Carlos,277,0.05143802862215692,Santos
456,80313,Gilberto,265,0.05127644693868426,Bahia
457,110668,Esquivel,293,0.050230987199111746,Athletico-PR
458,70944,Bruno Henrique,285,0.04865413975222452,Internacional
459,95127,Nicolas,327,0.047501987249941785,América-MG
460,106824,Welington,276,0.045763420463185114,São Paulo
461,116012,Matheus Gonçalves,262,0.043524442484385605,Flamengo
462,102909,Luan,276,0.04030669902738222,São Paulo
463,98517,Jean Lucas,277,0.03832132531639956,Santos
464,111760,Fabinho,275,0.03765342828354724,Palmeiras
465,94007,Matías Rojas,264,0.03397905728350117,Corinthians
466,107676,Nathan,277,0.03382904824836609,Santos
467,93791,Daniel,265,0.03377107475948078,Bahia
468,68808,Nino Paraíba,327,0.03354044406673753,América-MG
469,77809,William Pottker,294,0.03139758193271037,Coritiba
470,111839,Felipe Andrade,266,0.031092476976234944,Fluminense
471,125469,Alisson,282,0.030672627625924185,Atlético-MG
472,101573,Pepê,284,0.030378428617255232,Grêmio
473,122393,Talisson,280,0.028337480216448288,Bragantino
474,117849,Giovane,264,0.028253442085158724,Corinthians
475,110962,Kayque,263,0.0261652336430872,Botafogo
476,107744,Praxedes,267,0.024257362417406808,Vasco
477,68727,Dodô,282,0.02335391398671503,Atlético-MG
478,94786,Jhegson Méndez,276,0.020672775940705584,São Paulo
479,117870,Estevão,285,0.02062300541925916,Internacional
480,73318,Daniel Borges,263,0.019668717857368505,Botafogo
481,97867,Léo Ortiz,280,0.018782964656529552,Bragantino
482,107800,Fernando Henrique,283,0.017533786799812958,Cruzeiro
483,70916,Diogo Barbosa,284,0.016367165068314964,Grêmio
484,97133,Dudu,356,0.013209712041147065,Fortaleza
485,118676,Weslley Patati,277,0.012555314114891799,Santos
486,99588,Paulo Vitor,283,0.011841827132218256,Cruzeiro
487,106299,Realpe,280,0.0004025981681764659,Bragantino
488,73318,Daniel Borges,327,2.108198181770744e-06,América-MG
