,apelido,atleta_id,clube,posicao,media_casa,media_fora
371,Richard Coelho,86711,Cruzeiro,MEI,0.6,0.0
372,Richard Ríos,107111,Palmeiras,MEI,1.0999999999999999,2.2
373,Rikelme,105547,Cuiabá,ATA,4.2,6.533333333333334
374,Robson,84817,Coritiba,ATA,7.233333333333333,7.3999999999999995
375,Robson Bambu,101579,Vasco,ZAG,0.9,1.875
376,Rodrigo,111766,Vasco,MEI,0.0,0.725
377,Rodrigo Fernández,99214,Santos,MEI,2.9000000000000004,1.4
378,Rodrigo Moledo,63354,Internacional,ZAG,2.8666666666666667,-0.45
379,Rodrigo Nestor,106822,São Paulo,MEI,4.6000000000000005,-0.3
380,Rodrigo Varanda,111652,América-MG,ATA,0.9,0.0
381,Rodriguinho,115563,América-MG,MEI,0.25,0.0
382,Rodriguinho,118563,São Paulo,MEI,-0.65,1.9
383,Romarinho,84523,Fortaleza,ATA,0.5,1.125
384,Ronald Lopes,100969,Cuiabá,MEI,4.2,2.9
385,Roni,105585,Corinthians,MEI,1.5666666666666667,2.1
386,Rony,91607,Palmeiras,ATA,7.033333333333334,1.2249999999999999
387,Ruan,104153,Corinthians,MEI,7.5,0.0
388,Rubens,110727,Atlético-MG,LAT,5.8999999999999995,5.3
389,Ryan,122300,Bahia,LAT,4.833333333333333,2.4
390,Róger Guedes,89898,Corinthians,ATA,10.375000000000002,5.0
391,Rômulo,105911,Internacional,MEI,7.35,5.466666666666666
392,Rômulo,107197,Athletico-PR,ATA,-0.04999999999999999,0.0
393,Samuel Xavier,73384,Fluminense,LAT,0.7999999999999999,2.6
394,Sander,86391,Goiás,LAT,6.4,2.8000000000000003
395,Santos,69012,Flamengo,GOL,8.0,1.5
396,Saravia,96725,Atlético-MG,LAT,0.0,6.5
397,Segovia,110055,Botafogo,MEI,3.033333333333333,0.0
398,Sidimar,69189,Goiás,ZAG,0.36666666666666664,1.7
399,Silvio Romero,79188,Fortaleza,ATA,3.0999999999999996,1.05
400,Sorriso,111333,Bragantino,ATA,1.6,1.2
401,Soteldo,87258,Santos,ATA,8.4,5.25
402,Stênio,107052,Cruzeiro,ATA,0.85,0.8666666666666667
403,Tadeu,82453,Goiás,GOL,3.0,2.0
404,Tchê Tchê,86686,Botafogo,MEI,2.0200000000000005,1.3
405,Terans,102878,Athletico-PR,MEI,2.025,0.5
406,Thaciano,87470,Bahia,MEI,6.275,3.5
407,Thauan Lara,115061,Internacional,LAT,3.45,2.9000000000000004
408,Thiago Andrade,109404,Athletico-PR,ATA,1.75,-0.26666666666666666
409,Thiago Borbas,117314,Bragantino,ATA,2.766666666666667,6.266666666666667
410,Thiago Dombroski,122293,Coritiba,ZAG,3.0,0.0
411,Thiago Galhardo,71844,Fortaleza,ATA,4.633333333333334,0.15
412,Thiago Heleno,38394,Athletico-PR,ZAG,2.5999999999999996,3.6
413,Thiago Maia,89637,Flamengo,MEI,5.15,1.6666666666666667
414,Thiago Santos,78855,Fluminense,MEI,1.1333333333333333,-0.65
415,Thomas Luciano,111819,Grêmio,LAT,3.4666666666666663,3.1
416,Tinga,82628,Fortaleza,LAT,10.766666666666666,2.466666666666667
417,Tiquinho Soares,84042,Botafogo,ATA,10.325,7.7
418,Titi,50353,Fortaleza,ZAG,8.0,3.9666666666666663
419,Vagner Mancini,39850,América-MG,TEC,4.33,2.585
420,Vanderlan,107236,Palmeiras,LAT,3.0,5.0
421,Vanderlei Luxemburgo,41327,Corinthians,TEC,4.88,2.526666666666667
422,Varela,84816,Flamengo,LAT,5.6,0.0
423,Vargas,69102,Atlético-MG,ATA,5.1,1.1333333333333333
424,Victor Hugo,116034,Flamengo,MEI,2.25,2.033333333333333
425,Victor Luis,86410,Coritiba,LAT,2.85,-0.6000000000000001
426,Victor Sá,108946,Botafogo,ATA,5.58,2.05
427,Vidal,69375,Flamengo,MEI,2.75,0.0
428,Villasanti,97145,Grêmio,MEI,5.5,4.4
429,Vina,71162,Grêmio,MEI,0.6499999999999999,0.8666666666666667
430,Vinicius,68917,Goiás,ATA,1.9500000000000002,0.0
431,Vinicius Mingotti,105909,Bahia,ATA,-0.4,0.23333333333333336
432,Vinícius Balieiro,110605,Santos,MEI,-0.3,0.0
433,Vinícius Zanocelo,104521,Fortaleza,MEI,0.4,-0.09999999999999999
434,Vitinho,101960,Bragantino,ATA,7.833333333333333,1.875
435,Vitor Bueno,87552,Athletico-PR,MEI,2.05,2.4000000000000004
436,Vitor Hugo,72605,Bahia,ZAG,1.8,2.8333333333333335
437,Vitor Jacaré,101201,Bahia,ATA,4.466666666666667,2.7
438,Vitor Roque,114802,Athletico-PR,ATA,9.6,5.333333333333333
439,Vitão,97900,Internacional,ZAG,0.44999999999999996,1.0999999999999999
440,Víctor Cuesta,79113,Botafogo,ZAG,9.1,3.9
441,Wallisson,101405,Cruzeiro,MEI,2.8666666666666667,3.233333333333333
442,Walter,51413,Cuiabá,GOL,-0.5,5.1
443,Wanderson,86143,América-MG,ZAG,1.6333333333333335,1.2
444,Wanderson,93478,Internacional,ATA,6.0,1.1
445,Wellington Paulista,38279,América-MG,ATA,3.0,0.0
446,Wellington Rato,82766,São Paulo,MEI,2.9333333333333336,2.6333333333333333
447,Wellington Silva,68895,Cuiabá,ATA,1.9500000000000002,2.16
448,Wesley,105811,Cruzeiro,ATA,6.949999999999999,5.5
449,Wesley,115239,Flamengo,LAT,6.675000000000001,2.6666666666666665
450,Wesley,117909,Corinthians,ATA,1.5999999999999999,3.75
451,Weverton,71631,Palmeiras,GOL,1.1666666666666667,7.75
452,William,89275,Cruzeiro,LAT,1.975,5.033333333333332
453,William Pottker,77809,Coritiba,ATA,0.3,0.0
454,Willian,42116,Athletico-PR,ATA,4.0,2.9333333333333336
455,Willian Oliveira,81952,Goiás,MEI,1.5666666666666664,2.066666666666667
456,Yago Felipe,87747,Bahia,MEI,1.7000000000000002,3.6
457,Yago Pikachu,80196,Fortaleza,MEI,2.1666666666666665,0.27499999999999997
458,Yuri Alberto,100652,Corinthians,ATA,4.3999999999999995,1.4333333333333333
459,Zaracho,100079,Atlético-MG,MEI,5.833333333333333,2.3333333333333335
460,Zinho,123153,Grêmio,ATA,3.0,1.2
461,Zé Gabriel,105902,Vasco,MEI,0.9,1.7
462,Zé Ivaldo,91866,Athletico-PR,ZAG,3.45,1.5999999999999999
463,Zé Rafael,82455,Palmeiras,MEI,0.8500000000000001,4.425
464,Zé Ricardo,102911,Goiás,MEI,6.525,4.3
465,Zé Roberto,80076,Coritiba,ATA,3.1999999999999997,4.066666666666666
466,Ángel Romero,88323,Corinthians,ATA,1.7,0.0
467,Ângelo,110415,Santos,ATA,3.3333333333333335,3.325
468,Éder,91203,América-MG,ZAG,0.1,2.9
