,apelido,atleta_id,clube,posicao,media_casa,media_fora
317,Maurício Kozlinski,72595,Fortaleza,GOL,6.0,0.0
318,Maycon,94154,Corinthians,MEI,4.5,1.5
319,Mayke,81150,Palmeiras,LAT,5.666666666666667,5.1
320,Mendoza,90031,Santos,ATA,17.45,3.8
321,Mercado,72951,Internacional,ZAG,4.5,2.3
322,Messias,87402,Santos,ZAG,5.225,2.9
323,Michel Araújo,107173,São Paulo,MEI,2.4,3.9
324,Miguelito,115025,Santos,MEI,2.0,0.5
325,Mikael,102299,América-MG,ATA,2.75,1.45
326,Mila,115671,Grêmio,MEI,1.05,-0.8
327,Moisés,104666,Fortaleza,ATA,16.3,1.0666666666666667
328,Morelli,99412,Goiás,MEI,6.25,2.466666666666667
329,Murillo,121821,Corinthians,ZAG,2.1500000000000004,0.5666666666666667
330,Murilo,97653,Palmeiras,ZAG,6.6,-1.9
331,Natan,107110,Bragantino,ZAG,1.8666666666666665,0.06666666666666667
332,Natanael,107554,Coritiba,LAT,7.500000000000001,2.75
333,Nathan,87009,Grêmio,MEI,0.6333333333333333,2.8000000000000003
334,Nathan,107676,Santos,LAT,3.5999999999999996,5.033333333333334
335,Nathan Silva,95794,Atlético-MG,ZAG,5.8,5.5
336,Neto Moura,87742,Cruzeiro,MEI,0.7000000000000001,1.2000000000000002
337,Nicolas,95127,América-MG,LAT,0.0,-0.6
338,Nikão,69705,Cruzeiro,MEI,0.3666666666666667,0.19999999999999996
339,Nino,91708,Fluminense,ZAG,12.366666666666665,2.875
340,Nino Paraíba,68808,América-MG,LAT,-0.55,2.95
341,Odair Hellmann,92273,Santos,TEC,7.347499999999999,4.973333333333334
342,Oliveira,94514,Cruzeiro,ZAG,1.625,7.949999999999999
343,Orellano,110776,Vasco,MEI,1.7666666666666666,1.4
344,Otávio,82463,Atlético-MG,MEI,1.65,2.0
345,PK,91190,Cuiabá,LAT,0.7666666666666666,4.75
346,Pablo,69138,Athletico-PR,ATA,9.966666666666667,1.9
347,Pablo Maia,113359,São Paulo,MEI,5.233333333333333,1.8
348,Patrick,83433,Atlético-MG,MEI,2.033333333333333,2.3999999999999995
349,Patryck,106829,São Paulo,LAT,5.9,6.4
350,Paulinho,69034,Corinthians,MEI,1.2,2.4
351,Paulinho,99818,Atlético-MG,ATA,7.633333333333333,4.3999999999999995
352,Paulo Henrique,93716,Vasco,LAT,0.0,0.0
353,Paulo Turra,82747,Athletico-PR,TEC,7.3066666666666675,3.8875
354,Pavón,91908,Atlético-MG,ATA,4.066666666666667,6.275
355,Pedrinho,98706,Atlético-MG,MEI,0.0,0.0
356,Pedrinho,110995,Athletico-PR,LAT,5.699999999999999,0.55
357,Pedrinho,118304,Goiás,ATA,-0.3,0.0
358,Pedro,94583,Flamengo,ATA,4.825,3.4
359,Pedro,123022,Corinthians,ATA,1.0,2.6
360,Pedro Caixinha,117711,Bragantino,TEC,5.2,3.853333333333333
361,Pedro Henrique,72583,Internacional,ATA,2.866666666666667,2.625
362,Pedro Henrique,87225,Athletico-PR,ZAG,4.766666666666667,3.95
363,Pedro Raul,98225,Vasco,ATA,4.633333333333334,2.475
364,Pepa,123907,Cruzeiro,TEC,5.0775,8.793333333333335
365,Pepê,101573,Grêmio,MEI,10.5,0.0
366,Philipe Sampaio,87808,Botafogo,ZAG,5.0,1.7
367,Piquerez,102130,Palmeiras,LAT,0.95,9.333333333333334
368,Pochettino,99267,Fortaleza,MEI,3.0666666666666664,3.7249999999999996
369,Puma Rodríguez,99213,Vasco,LAT,4.1,4.275
370,Quagliata,111949,Cuiabá,ATA,0.5,0.8000000000000002
371,Rafael,68928,São Paulo,GOL,7.5,3.0
372,Rafael,70171,Botafogo,LAT,4.3,3.5
373,Rafael Bilu,103576,Cruzeiro,ATA,2.25,1.9
374,Rafael Cabral,68940,Cruzeiro,GOL,3.625,7.3999999999999995
375,Rafael Navarro,105770,Palmeiras,ATA,1.8,9.8
376,Rafinha,38144,São Paulo,LAT,5.3,4.775
377,Ramiro,78715,Cruzeiro,MEI,3.266666666666667,4.333333333333333
378,Raniele,95556,Cuiabá,MEI,2.766666666666667,6.1
379,Raphael Veiga,94509,Palmeiras,MEI,16.133333333333336,6.6000000000000005
380,Raí Ramos,90232,São Paulo,LAT,6.1,3.9499999999999997
381,Realpe,106299,Bragantino,ZAG,2.6500000000000004,0.9
382,Reinaldo,78850,Grêmio,LAT,1.95,-0.3
383,Reinaldo,104420,Athletico-PR,ATA,1.7,0.0
384,Renato Gaúcho,41929,Grêmio,TEC,6.5175,3.8033333333333332
385,Renato Marques,117403,América-MG,ATA,2.8000000000000003,1.1
386,Renato Paiva,110818,Bahia,TEC,4.81,4.883333333333333
387,Renê,78445,Internacional,LAT,4.233333333333333,5.35
388,Rezende,90449,Bahia,MEI,3.0666666666666664,3.1
389,Ricardo Silva,79334,América-MG,ZAG,0.6333333333333333,1.65
390,Richard Coelho,86711,Cruzeiro,MEI,3.3,6.2
391,Richard Ríos,107111,Palmeiras,MEI,0.6666666666666666,1.55
392,Robson,84817,Coritiba,ATA,4.45,6.4
393,Robson Bambu,101579,Vasco,ZAG,1.4000000000000001,2.5
394,Rodrigo,111766,Vasco,MEI,0.0,1.7999999999999998
395,Rodrigo Fernández,99214,Santos,MEI,3.3000000000000003,1.9666666666666668
396,Rodrigo Moledo,63354,Internacional,ZAG,2.4,0.06666666666666668
397,Rodrigo Nestor,106822,São Paulo,MEI,4.066666666666667,4.833333333333333
398,Rodrigo Pinho,86799,Coritiba,ATA,2.25,1.6333333333333335
399,Romarinho,84523,Fortaleza,ATA,0.0,1.55
400,Ronald Lopes,100969,Cuiabá,MEI,1.3,4.933333333333334
401,Roni,105585,Corinthians,MEI,0.9333333333333335,0.6333333333333334
402,Rony,91607,Palmeiras,ATA,1.1333333333333335,0.8500000000000001
403,Rubens,110727,Atlético-MG,LAT,6.333333333333333,6.3999999999999995
404,Rwan,115404,Vasco,ATA,-0.6,3.5
405,Ryan,122300,Bahia,LAT,4.5,0.0
406,Réver,52253,Atlético-MG,ZAG,-1.0,4.7
407,Róger Guedes,89898,Corinthians,ATA,9.200000000000001,6.45
408,Rômulo,107197,Athletico-PR,ATA,0.55,0.65
409,Samuel Xavier,73384,Fluminense,LAT,3.85,5.35
410,Sander,86391,Goiás,LAT,7.3,3.025
411,Santos,69012,Flamengo,GOL,5.5,1.0
412,Saravia,96725,Atlético-MG,LAT,3.05,4.75
413,Segovia,100453,Botafogo,ZAG,0.0,-0.8
414,Segovia,110055,Botafogo,MEI,3.033333333333333,3.9
415,Sidimar,69189,Goiás,ZAG,-0.30000000000000004,1.3
416,Silvio Romero,79188,Fortaleza,ATA,0.85,3.3
417,Sorriso,111333,Bragantino,ATA,1.6,1.7
418,Soteldo,87258,Santos,ATA,7.7,2.4
419,Stênio,107052,Cruzeiro,ATA,0.5,1.8
420,Tadeu,82453,Goiás,GOL,0.5,2.6666666666666665
421,Talisson,122393,Bragantino,ATA,3.8,0.0
422,Tchê Tchê,86686,Botafogo,MEI,2.75,5.966666666666666
423,Terans,102878,Athletico-PR,MEI,2.55,1.05
424,Thaciano,87470,Bahia,MEI,8.0,7.3999999999999995
425,Thauan Lara,115061,Internacional,LAT,0.5,4.15
426,Thiago Andrade,109404,Athletico-PR,ATA,2.5,0.0
427,Thiago Borbas,117314,Bragantino,ATA,3.366666666666667,7.75
428,Thiago Dombroski,122293,Coritiba,ZAG,-0.3,0.0
429,Thiago Galhardo,71844,Fortaleza,ATA,3.4,0.0
430,Thiago Heleno,38394,Athletico-PR,ZAG,3.233333333333333,3.766666666666667
431,Thiago Maia,89637,Flamengo,MEI,4.8999999999999995,1.2
432,Thiago Santos,78855,Fluminense,MEI,1.0999999999999999,-0.55
