"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
38243,"Leonardo Lourenço Bastos","Léo",5.00,"http://s.glbimg.com/es/sde/f/2010/11/17/3a06baf5de07f53e60b3ae19ffd8a286_FORMATO.jpeg"
38246,"Robson de Souza","Robinho",19.00,"http://s.glbimg.com/es/sde/f/2011/10/03/1f8aacae89c48099f8bb65861a960f03_FORMATO.jpeg"
38279,"Wellington Pereira do Nascimento","Wellington Paulista",10.00,"http://s.glbimg.com/es/sde/f/2010/11/17/6477e7fe022f0b0366e633ce50ba2d9c_FORMATO.jpeg"
38311,"Márcio Rodrigues Araújo","Márcio Araújo",7.00,"http://s.glbimg.com/es/sde/f/2010/11/18/6dced5ad19c0a8bdfab05fd4a2850f6a_FORMATO.jpeg"
38315,"Jadson Rodrigues da Silva","Jadson",22.00,"http://s.glbimg.com/es/sde/f/2012/01/17/53de1466b6d31a939d3775f6ac534ee7_FORMATO.jpeg"
38357,"Luís Fernando Lojudice Martinez","Martinez",5.00,NULL
38362,"Rodrigo Daniel Lopes da Silva","Rodrigo Silva",2.00,"http://s.glbimg.com/es/sde/f/2013/09/24/66befe896265153ea61221f0646f5439_FORMATO.jpeg"
38365,"Carlos Henrique dos Santos Souza","Henrique",8.00,"http://s.glbimg.com/es/sde/f/2012/01/10/070f5dd45046ed5b20d8253a0168eaab_FORMATO.jpeg"
38369,"Ibson Barreto da Silva","Ibson",3.00,"http://s.glbimg.com/es/sde/f/2011/08/11/ac037f2aff45bd872ca51b877e7622e7_FORMATO.jpeg"
38370,"André Luiz Bahia Santos Viana","André Bahia",3.00,"http://s.glbimg.com/es/sde/f/2014/09/04/3bac9bc44a2687218ce8e9eab1819c48_FORMATO.jpeg"
38374,"Alessandro Nunes Nascimento","Alessandro",5.00,"http://s.glbimg.com/es/sde/f/2014/09/02/0da7567d84c7e38f38cd9a94982594ea_FORMATO.jpeg"
38394,"Thiago Heleno Henrique Ferreira","Thiago Heleno",6.00,"http://s.glbimg.com/es/sde/f/2010/11/17/dc125f0aa1d1d2f1708793bc891bef12_FORMATO.jpeg"
38398,"Renato Soares de Oliveira Augusto","Renato Augusto",11.00,"http://s.glbimg.com/es/sde/f/2013/04/12/1434aaddcd52bad77fe3ff9e97631627_FORMATO.jpeg"
38425,"Fábio Ferreira da Silva","Fábio Ferreira",6.00,"http://s.glbimg.com/es/sde/f/2010/11/16/34839076152a62f8e9777827ad045815_FORMATO.jpeg"
38431,"Diego Cavalieri","Diego Cavalieri",18.00,"http://s.glbimg.com/es/sde/f/2010/12/07/47c6c9c4cd158dccf96adca5f0269618_FORMATO.jpeg"
38432,"Wendel Santana Pereira Santos","Wendel",13.00,"http://s.glbimg.com/es/sde/f/2011/08/11/5522c8c706ca9cea9fac72932bb810e4_FORMATO.jpeg"
38435,"Jorge Luís Valdivia Toro","Valdivia",22.00,"http://s.glbimg.com/es/sde/f/2014/06/08/763dc2538c2a60b12c1cf2bbe131aec2_FORMATO.jpeg"
38440,"Lucas Pierre Santos Oliveira","Pierre",9.00,"http://s.glbimg.com/es/sde/f/2010/11/18/a3c32e0abdf4657c4748d7acc2f6b94f_FORMATO.jpeg"
38451,"Carlos Andrade Souza","Carlinhos",17.00,"http://s.glbimg.com/es/sde/f/2010/11/12/04bed2ce4f882c4252b55ea68281101b_FORMATO.jpeg"
38482,"Marcos Aurélio de Oliveira Lima","Marcos Aurélio",7.00,"http://s.glbimg.com/es/sde/f/2011/08/10/bfe3ba7e5ad66dbb22089c14c79780a8_FORMATO.jpeg"
38507,"Rafael Miranda Conceição","Rafael Miranda",4.00,"http://s.glbimg.com/es/sde/f/2013/06/26/63a310d20112ff5ddcea7cc74ff2272d_FORMATO.jpeg"
38515,"Marcos Roberto da Silva Barbosa","Marquinhos",1.00,"http://s.glbimg.com/es/sde/f/2014/01/24/8b094135f597cbc765a6cbfd7f69b5fc_FORMATO.jpeg"
38523,"Edílson Mendes Guimarães","Edílson",10.00,"http://s.glbimg.com/es/sde/f/2010/11/19/86d4f40721fb17b4a18f0807ba911ac9_FORMATO.jpeg"
38525,"Cléverson Gabriel Córdova","Cléo",4.00,"http://s.glbimg.com/es/sde/f/2014/05/09/5a338dc2d4deccb26ce076251ce1557a_FORMATO.jpeg"
38573,"Nílton Ferreira Júnior","Nilton",16.00,"http://s.glbimg.com/es/sde/f/2010/11/12/c7a05763474b38e3d4aa547ec48eba96_FORMATO.jpeg"
38579,"Rodrigo Marcos dos Santos","Rodrigo Mancha",5.00,"http://s.glbimg.com/es/sde/f/2012/01/13/a635629a5d72efdf8d1f76414a25fcde_FORMATO.jpeg"
38588,"Elton Rodrigues Brandão","Elton",7.00,"http://s.glbimg.com/es/sde/f/2010/12/30/8558eccf753e745cde286bf1ac444be4_FORMATO.jpeg"
38602,"Edno Roberto Cunha","Edno",4.00,"http://s.glbimg.com/es/sde/f/2014/08/27/253eb311416382921872a692ad8dff7d_FORMATO.jpeg"
38613,"José Carlos Ferreira Filho","Zé Carlos",6.00,"http://s.glbimg.com/es/sde/f/2014/03/20/00b688b8908d5c4a8aa5dcaf86e1d6cf_FORMATO.jpeg"
38630,"Rivaldo Barbosa de Sousa","Rivaldo",4.00,"http://s.glbimg.com/es/sde/f/2012/01/11/e365d718eef418e7f24bec7bf54b4309_FORMATO.jpeg"
