"atleta_scout_id","rodada_id","atleta_id","scout_id","quantidade_num"
404,1,78850,7,0
406,1,78850,3,6
409,1,78850,9,1
411,1,78850,8,0
412,1,78850,2,1
413,1,78850,4,0
414,1,78850,15,0
415,1,78946,1,0
417,1,78946,2,1
420,1,78946,8,1
422,1,78946,16,0
423,1,78946,3,5
424,1,78946,7,0
425,1,78946,17,0
426,1,78946,5,0
427,1,78946,13,0
428,1,78946,9,1
429,1,78946,18,0
430,1,78946,14,0
431,1,78946,4,0
432,1,78946,15,0
433,1,81121,1,0
434,1,81121,5,0
435,1,81121,7,0
436,1,81121,13,0
437,1,81121,17,0
438,1,81121,18,0
439,1,81121,16,0
441,1,81121,3,1
444,1,81121,8,0
446,1,81121,9,0
447,1,81121,14,0
448,1,81121,2,0
449,1,81121,4,0
450,1,81121,15,0
451,1,84554,1,0
452,1,84554,5,0
454,1,84554,17,0
455,1,84554,3,5
456,1,84554,8,1
458,1,84554,2,0
459,1,84554,9,0
460,1,84554,7,0
461,1,84554,13,0
462,1,84554,14,0
465,1,84554,16,0
466,1,84554,18,0
467,1,84554,4,0
468,1,84554,15,0
469,1,85586,1,0
470,1,85586,9,3
471,1,85586,16,0
472,1,85586,18,0
473,1,85586,7,0
474,1,85586,17,0
477,1,85586,8,5
479,1,85586,2,2
480,1,85586,5,0
482,1,85586,14,0
483,1,85586,3,3
484,1,85586,13,0
485,1,85586,4,0
486,1,85586,15,0
487,1,86841,1,0
488,1,86841,3,1
490,1,86841,18,0
491,1,86841,13,0
492,1,86841,2,1
493,1,86841,17,2
495,1,86841,8,1
496,1,86841,14,0
497,1,86841,9,1
498,1,86841,5,0
500,1,86841,16,0
502,1,86841,7,1
503,1,86841,4,0
504,1,86841,15,0
505,1,36612,1,0
506,1,36612,14,0
509,1,36612,9,2
510,1,36612,8,2
511,1,36612,18,0
512,1,36612,3,2
514,1,36612,5,0
515,1,36612,7,0
516,1,36612,17,0
517,1,36612,13,0
519,1,36612,2,2
520,1,36612,16,0
521,1,36612,4,1
522,1,36612,15,0
523,1,36790,1,0
524,1,36790,3,0
525,1,36790,17,0
526,1,36790,9,2
527,1,36790,18,0
529,1,36790,7,0
531,1,36790,16,0
533,1,36790,8,2
535,1,36790,13,0
536,1,36790,14,0
537,1,36790,2,6
538,1,36790,5,0
539,1,36790,4,1
540,1,36790,15,0
541,1,37851,1,0
542,1,37851,18,1
545,1,37851,8,1
546,1,37851,17,0
547,1,37851,7,0
548,1,37851,9,0
549,1,37851,5,0
550,1,37851,3,3
551,1,37851,16,0
553,1,37851,13,0
554,1,37851,2,1
555,1,37851,14,0
557,1,37851,4,0
558,1,37851,15,0
559,1,38061,1,0
560,1,38061,16,0
561,1,38061,2,0
562,1,38061,17,0
563,1,38061,3,1
564,1,38061,13,0
565,1,38061,18,0
567,1,38061,5,0
568,1,38061,14,0
571,1,38061,7,0
572,1,38061,8,1
573,1,38061,9,0
575,1,38061,4,0
576,1,38061,15,0
577,1,38138,1,0
578,1,38138,17,0
579,1,38138,5,0
580,1,38138,13,0
581,1,38138,16,0
582,1,38138,18,0
583,1,38138,14,0
587,1,38138,2,4
588,1,38138,8,0
589,1,38138,9,2
590,1,38138,7,1
592,1,38138,3,2
593,1,38138,4,0
594,1,38138,15,0
595,1,38140,1,0
596,1,38140,13,1
597,1,38140,2,0
598,1,38140,16,2
599,1,38140,3,0
600,1,38140,17,0
602,1,38140,5,0
603,1,38140,18,0
604,1,38140,8,1
606,1,38140,14,0
608,1,38140,9,0
609,1,38140,7,0
611,1,38140,4,0
612,1,38140,15,0
613,1,38435,1,0
615,1,38435,8,0
617,1,38435,3,6
618,1,38435,17,1
620,1,38435,9,0
622,1,38435,13,0
623,1,38435,5,0
624,1,38435,2,0
625,1,38435,16,0
626,1,38435,14,0
627,1,38435,7,0
628,1,38435,18,3
629,1,38435,4,0
630,1,38435,15,0
631,1,38957,1,0
632,1,38957,18,1
633,1,38957,13,0
636,1,38957,2,1
637,1,38957,3,4
638,1,38957,9,1
640,1,38957,5,0
641,1,38957,8,0
642,1,38957,16,0
644,1,38957,17,0
645,1,38957,7,0
646,1,38957,14,0
647,1,38957,4,0
648,1,38957,15,0
649,1,42145,1,0
650,1,42145,5,0
653,1,42145,13,0
654,1,42145,3,3
655,1,42145,16,0
656,1,42145,2,1
657,1,42145,17,0
658,1,42145,18,0
659,1,42145,14,0
662,1,42145,8,0
663,1,42145,7,0
664,1,42145,9,1
665,1,42145,4,0
666,1,42145,15,0
667,1,50362,1,0
668,1,50362,8,0
669,1,50362,9,1
672,1,50362,3,1
673,1,50362,7,0
674,1,50362,5,0
675,1,50362,13,0
676,1,50362,17,1
677,1,50362,18,0
678,1,50362,14,0
679,1,50362,2,1
680,1,50362,16,0
683,1,50362,4,0
684,1,50362,15,0
685,1,51779,1,0
686,1,51779,16,0
687,1,51779,2,2
689,1,51779,5,0
690,1,51779,18,0
691,1,51779,7,0
693,1,51779,9,1
694,1,51779,14,0
695,1,51779,17,0
