,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
496,3,109404,Thiago Andrade,Athletico-PR,ATA,3.69,0.0,-0.43,0.0,0.0,39.62786315727492,5.4472409311118986,3.703333333333333,2.1709633649932156,0.2645682001614205,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,2.2,0.0,0,2.4,0.4,2.4,0,0,0.0
497,3,89695,Iury Castilho,Cuiabá,ATA,2.77,0.0,0.0,0.0,0.0,28.18112229876936,5.4472409311118986,0.0,0.23322708543885565,0.025,0,1,44.528858067006894,31.187524485002843,31.187524485002843,visitante,0.0,7.0,0,0.3,0.0,0.3,0,0,0.0
498,3,93014,Júnior Moraes,Corinthians,ATA,2.06,0.0,0.0,0.0,0.0,29.982924100571164,5.4472409311118986,0.0,0.16543965588551576,0.022222222222222227,0,3,32.70160821691195,25.278172858510654,32.70160821691195,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
499,3,109639,Gabriel Novaes,Goiás,ATA,4.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
500,3,97450,Gustavo Mosquito,Corinthians,ATA,5.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,32.70160821691195,25.278172858510654,32.70160821691195,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
501,3,98909,Cuello,Athletico-PR,ATA,3.56,0.0,0.0,0.0,0.0,30.88382500147207,5.4472409311118986,3.703333333333333,1.5603799185888738,0.19166666666666665,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
502,3,42116,Willian,Athletico-PR,ATA,6.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
503,3,69022,Marcelo Cirino,Athletico-PR,ATA,5.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
504,3,108624,Arriagada,Athletico-PR,ATA,4.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
505,3,69138,Pablo,Athletico-PR,ATA,12.51,0.0,-1.24,30.86333333333333,0.0,32.52664429135018,5.4472409311118986,4.166666666666667,9.972862957937584,0.6535316829434477,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,7.25,0.0,0,12.5,1.1,12.5,0,0,0.0
506,3,102796,Julimar,Athletico-PR,ATA,2.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
507,3,107197,Rômulo,Athletico-PR,ATA,2.42,0.0,-0.33,0.0,0.0,33.745510216098445,5.4472409311118986,3.703333333333333,1.4925373134328364,0.27195767195767195,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,1.45,0.0,0,0.9,0.65,0.9,0,0,0.0
508,3,102928,Canobbio,Athletico-PR,ATA,5.0,-0.1,-1.61,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,-0.06784260515603799,-0.006666666666666667,0,3,12.941759608905187,25.278172858510654,12.941759608905187,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
509,3,78117,Everaldo,Bahia,ATA,10.68,-0.3,-1.13,30.30333333333333,22.222222222222214,25.560266148501444,5.4472409311118986,11.11,6.5596813869040655,0.5218070595859804,0,3,74.88633897510671,25.278172858510654,74.88633897510671,mandante,4.7,0.0,0,0.9,5.15,0.9,0,0,0.0
510,3,84817,Robson,Coritiba,ATA,3.74,-0.3,-0.63,0.0,0.0,26.381675793440493,5.4472409311118986,2.563333333333333,0.9555310547592796,0.07616709348118893,0,1,44.528858067006894,7.512902640261236,7.512902640261236,visitante,0.0,1.7,0,0.45,0.4,0.45,0,0,0.0
450,3,110928,Lucão,Goiás,ATA,2.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
448,3,113667,Ryan Luka,Flamengo,ATA,1.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,44.528858067006894,71.67000128062493,71.67000128062493,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
667,3,51548,Giuliano,Corinthians,MEI,4.0600000000000005,-1.3,-1.0,0.0,0.0,32.184537478655116,5.4472409311118986,4.166666666666667,1.4889569029696414,0.10806165937897827,0,3,32.70160821691195,25.278172858510654,32.70160821691195,mandante,1.95,0.0,0,0.9,0.4500000000000001,0.9,0,0,0.0
397,3,122420,Lucca,Internacional,ATA,1.61,1.2,-0.03,0.0,0.0,34.747688865335924,5.4472409311118986,0.0,0.8665952999949024,0.33178053830227744,0,7,44.528858067006894,27.632859035387906,27.632859035387906,visitante,0.0,0.5,0,1.2,0.5,1.2,0,0,0.0
389,3,101314,Ademir,Bahia,ATA,5.0600000000000005,1.7,-0.07,0.0,0.0,21.455573220279106,5.4472409311118986,10.74,3.4555464448869624,0.3497046397842478,0,3,74.88633897510671,25.278172858510654,74.88633897510671,mandante,4.95,0.0,0,1.4,2.25,1.4,0,0,0.0
390,3,68895,Wellington Silva,Cuiabá,ATA,3.31,1.7,0.08,0.0,0.0,34.006948124595176,5.4472409311118986,0.0,1.3216201508201821,0.1711983887210473,0,1,44.528858067006894,31.187524485002843,31.187524485002843,visitante,0.0,7.0,0,0.85,0.0,0.85,0,0,0.0
391,3,101002,Júnior Santos,Botafogo,ATA,7.31,1.7,-0.69,30.30333333333333,13.333333333333336,34.16828593299181,5.4472409311118986,20.74,7.127583749109051,1.1174849267872526,0,9,51.28560719664114,25.278172858510654,51.28560719664114,mandante,5.5,0.0,0,1.0,6.5,1.0,0,0,0.0
392,3,117314,Thiago Borbas,Bragantino,ATA,4.949999999999998,1.5,-0.35,33.333333333333336,6.666666666666668,23.096037213684273,5.4472409311118986,13.853333333333332,6.3777738948104155,0.5843434343434343,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,4.9,0,1.5,5.8,1.5,0,0,0.0
393,3,111771,Arthur Sales,Bahia,ATA,1.83,1.4,0.23,0.0,0.0,30.303244420891485,5.4472409311118986,7.036666666666666,1.2885088438561556,0.34389799635701274,0,3,74.88633897510671,25.278172858510654,74.88633897510671,mandante,8.5,0.0,0,0.0,1.1,0.0,0,0,0.0
394,3,98225,Pedro Raul,Vasco,ATA,6.43,1.3,-0.64,28.986666666666665,13.333333333333336,28.98074545133369,5.4472409311118986,16.236666666666668,7.510301741326599,0.8936868475552154,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,1.3,0,5.1000000000000005,1.1,5.1000000000000005,0,0,0.0
396,3,110415,Ângelo,Santos,ATA,4.65,1.2,-0.33,0.0,0.0,42.85697462168051,5.4472409311118986,2.563333333333333,3.7119930127190353,0.5488983356950349,0,4,44.528858067006894,6.461672356513207,6.461672356513207,visitante,0.0,2.5,0,2.9,1.0,2.9,0,0,0.0
398,3,111333,Sorriso,Bragantino,ATA,3.98,1.2,-0.21,0.0,0.0,31.784725902372962,5.4472409311118986,7.793333333333332,2.5336362047876992,0.21383584589614735,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,2.85,0,1.2,1.7,1.2,0,0,0.0
447,3,121830,Janderson,Botafogo,ATA,2.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,9,51.28560719664114,25.278172858510654,51.28560719664114,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
399,3,121184,Erick Marcus,Vasco,ATA,3.0,1.2,-0.56,0.0,0.0,31.784725902372962,5.4472409311118986,2.563333333333333,0.7975541672205237,0.13333333333333333,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,1.5,0,1.2,0.0,1.2,0,0,0.0
400,3,90285,Bruno Henrique,Flamengo,ATA,8.97,1.2,-2.28,0.0,0.0,35.96773243832067,5.4472409311118986,0.0,1.0456605088881143,0.06767001114827202,0,3,44.528858067006894,71.67000128062493,71.67000128062493,visitante,0.0,0.0,0,1.05,0.0,1.05,0,0,0.0
