,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1849,Filipe Luís,38750,Flamengo,LAT,4.0,1.2999999999999998,São Paulo,visitante,2.5,1.9
1850,Matheuzinho,101727,Flamengo,LAT,8.76,1.2374999999999998,São Paulo,visitante,2.5,1.86875
1851,Erick,98022,Athletico-PR,MEI,3.75,1.7375000000000003,Atlético-MG,visitante,1.9899999999999998,1.86375
1852,Marcão Silva,78856,Cuiabá,MEI,2.0,0.18571428571428572,Fluminense,visitante,3.5200000000000005,1.8528571428571432
1853,Vidal,69375,Flamengo,MEI,17.1,1.2,São Paulo,visitante,2.5,1.85
1854,Victor Hugo,116034,Flamengo,MEI,5.533333333333332,1.2,São Paulo,visitante,2.5,1.85
1855,Vitinho,78435,Flamengo,ATA,1.6800000000000002,1.16,São Paulo,visitante,2.5,1.83
1856,Marcelo Fernandes,91274,Santos,TEC,6.1,0.75,Coritiba,visitante,2.9,1.825
1857,Bruno Melo,84339,Corinthians,LAT,6.2,2.5250000000000004,Avaí,visitante,1.1,1.8125000000000002
1858,Bryan Angulo,89435,Santos,ATA,3.4166666666666665,0.72,Coritiba,visitante,2.9,1.81
1859,Rodrigo Caio,73800,Flamengo,ZAG,4.0,1.1166666666666667,São Paulo,visitante,2.5,1.8083333333333333
1860,Cantillo,85315,Corinthians,MEI,2.7199999999999998,2.4,Avaí,visitante,1.1,1.75
1861,Kawê,109246,América-MG,ATA,0.5,-0.9,Juventude,visitante,4.388888888888889,1.7444444444444447
1862,Ricardo Goulart,68833,Santos,MEI,0.5571428571428572,0.5599999999999999,Coritiba,visitante,2.9,1.73
1863,Christian,104502,Athletico-PR,MEI,2.2,1.4333333333333333,Atlético-MG,visitante,1.9899999999999998,1.7116666666666664
1864,Diego,38909,Flamengo,MEI,4.375,0.9,São Paulo,visitante,2.5,1.7
1865,Adson,111682,Corinthians,MEI,5.733333333333333,2.271428571428572,Avaí,visitante,1.1,1.685714285714286
1866,Ângelo,110415,Santos,ATA,3.15,0.26666666666666666,Coritiba,visitante,2.9,1.5833333333333333
1867,Lázaro,110193,Flamengo,MEI,5.175000000000001,0.6375000000000001,São Paulo,visitante,2.5,1.56875
1868,Sávio,95555,Goiás,LAT,7.9,-1.2,Palmeiras,visitante,4.25,1.525
