,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,gato_mestre,slug,apelido,apelido_abreviado,nome,foto,status
446,{},109195,35,263,2,6,0.0,2.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",vitor-marinho,Vitor Marinho,V. Marinho,Vitor Marinho de Oliveira,https://s.glbimg.com/es/sde/f/2022/02/21/12dac2a5eae75e37ed96b625c3f97430_FORMATO.png,Nulo
447,"{'A': 1, 'CA': 2, 'CV': 1, 'DS': 36, 'FC': 25, 'FD': 3, 'FF': 9, 'FS': 27, 'G': 2, 'I': 4, 'PI': 78}",112886,35,277,4,6,7.9,4.16,1.83,2.95,23,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",lucas-barbosa,Lucas Barbosa,L. Barbosa,Lucas Henrique Barbosa,https://s.glbimg.com/es/sde/f/2022/03/03/9fba085c9e9d64ca30ffb16b75fe7013_FORMATO.png,Nulo
448,{},113159,35,275,3,6,0.0,2.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",michel,Michel,Michel,Michel Augusto Modesto Rafael dos Santos,https://s.glbimg.com/es/sde/f/2022/04/06/2e58e6fda93f2529e843b6dacea39be3_FORMATO.png,Nulo
449,{},114335,35,293,4,6,0.0,4.0,0.0,0.0,0,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jader,Jader,Jader,Jader Barbosa da Silva Gentil,https://s.glbimg.com/es/sde/f/2021/08/28/b1890f6a2535a6bafcc1d65d242e3de6_FORMATO.png,Nulo
450,"{'CA': 2, 'CV': 1, 'DS': 3, 'FC': 14, 'FD': 7, 'FF': 6, 'FS': 14, 'G': 3, 'I': 7, 'PI': 51, 'PP': 1}",38138,35,354,5,7,0.0,4.47,0.0,2.22,13,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jo,Jô,Jô,João Alves de Assis Silva,https://s.glbimg.com/es/sde/f/2022/08/11/f19c59d4d6626b101ff291f3e852072d_FORMATO.png,Provável
451,"{'A': 2, 'CA': 3, 'DS': 5, 'FC': 18, 'FD': 10, 'FF': 11, 'FS': 16, 'FT': 1, 'G': 6, 'I': 2, 'PI': 101}",93478,35,285,5,6,1.9,4.84,0.02,3.35,23,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",wanderson,Wanderson,Wanderson,Wanderson Maciel Sousa Campos,https://s.glbimg.com/es/sde/f/2022/03/11/60d938ca7b4268f47e35930fb50a834a_FORMATO.png,Nulo
452,"{'CA': 3, 'DS': 40, 'FC': 33, 'FD': 3, 'FF': 13, 'FS': 15, 'FT': 1, 'G': 1, 'PI': 106}",86859,35,356,4,7,-0.3,4.75,-0.65,2.37,24,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",jose-welison,José Welison,J. Welison,José Welison da Silva,https://s.glbimg.com/es/sde/f/2022/05/12/32f4ef48713e5687dbe666e42316e4ad_FORMATO.png,Provável
453,"{'CA': 1, 'DS': 7, 'FC': 4, 'FD': 1, 'FF': 3, 'FS': 4, 'I': 5, 'PI': 26, 'PS': 1}",69022,35,293,5,5,0.0,3.42,0.0,0.88,11,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",marcelo-cirino,Marcelo Cirino,M. Cirino,Marcelo Cirino da Silva,https://s.glbimg.com/es/sde/f/2022/03/11/d66ed90e8284dc651e111fbb2768dd6d_FORMATO.png,Contundido
454,"{'CA': 4, 'DS': 18, 'FC': 20, 'FF': 3, 'FS': 8, 'FT': 1, 'PC': 1, 'PI': 93, 'SG': 4}",72491,35,314,3,6,0.0,5.43,0.0,1.61,19,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",bressan,Bressan,Bressan,Matheus Simonete Bressanelli,https://s.glbimg.com/es/sde/f/2022/03/08/0759780a94f5359aefe723b749494c0b_FORMATO.png,Nulo
455,"{'CA': 2, 'CV': 1, 'DS': 12, 'FC': 7, 'FD': 2, 'FS': 6, 'I': 1, 'PI': 50}",74084,35,263,4,6,0.0,2.16,0.0,0.46,17,,"{'media_pontos_mandante': None, 'media_pontos_visitante': None, 'media_minutos_jogados': None, 'minutos_jogados': None, 'scouts': {'media': {}, 'mandante': {}, 'visitante': {}}}",lucas-piazon,Lucas Piazon,L. Piazon,Gustavo Lucas Domingues Piazón,https://s.glbimg.com/es/sde/f/2022/03/10/444cdcb13fd4a94042b454cbf58b95fb_FORMATO.png,Nulo
