,apelido,atleta_id,clube,posicao,media_casa,media_fora
208,Juninho Capixaba,94968,Fortaleza,LAT,7.8,0.5333333333333333
209,Junior Alonso,88312,Atlético-MG,ZAG,5.4750000000000005,4.1
210,Jô,38138,Corinthians,ATA,0.3,4.55
211,Júnior Moraes,93014,Corinthians,ATA,0.55,0.7
212,Kanu,98484,Botafogo,ZAG,-0.4,2.6666666666666665
213,Kelvyn,102464,Ceará,LAT,-0.7,0.0
214,Keno,86485,Atlético-MG,ATA,2.1333333333333333,0.0
215,Kevin,91888,Avaí,LAT,2.1,2.8
216,Khellven ,105175,Athletico-PR,LAT,4.9,1.35
217,Kuscevic,98619,Palmeiras,ZAG,5.0,0.0
218,Leandro Barcia,91242,Atlético-GO,ATA,0.3,0.0
219,Lima,96340,Ceará,MEI,8.15,4.15
220,Lomónaco,113203,Bragantino,ZAG,2.7,0.0
221,Luan,63219,Goiás,MEI,-0.4,-0.4
222,Luan Cândido,100848,Bragantino,LAT,6.7,1.4
223,Luan Polli,88916,Atlético-GO,GOL,3.0,1.5
224,Lucas Barbosa,112886,Santos,MEI,2.1,-1.0
225,Lucas Braga,99119,Santos,ATA,1.1666666666666665,0.7999999999999999
226,Lucas Crispim,88597,Fortaleza,MEI,-0.1,-0.85
227,Lucas Evangelista,84674,Bragantino,MEI,3.4000000000000004,6.3500000000000005
228,Lucas Fernandes,94931,Botafogo,MEI,0.9,1.8
229,Lucas Halter,102253,Athletico-PR,ZAG,3.7,2.9
230,Lucas Kal,95662,América-MG,MEI,-0.6,0.0
231,Lucas Lima,80583,Fortaleza,MEI,1.2,0.7666666666666666
232,Lucas Piazon,74084,Botafogo,MEI,1.3,0.3
233,Lucas Pires,114374,Santos,LAT,6.199999999999999,3.5666666666666664
234,Lucas Piton,105584,Corinthians,LAT,12.899999999999999,5.25
235,Lucas Ribeiro,103088,Ceará,ZAG,7.8,4.3
236,Lucas Ventura,97856,Avaí,MEI,-2.0,0.0
237,Luccas Claro,73465,Fluminense,ZAG,1.7000000000000002,1.4
238,Luciano,80287,São Paulo,ATA,5.833333333333333,7.6
239,Luciano Castán,68942,Coritiba,ZAG,5.666666666666667,0.5
240,Luiz Fernando ,90715,Atlético-GO,ATA,2.9,1.7333333333333334
241,Luiz Henrique,109282,Fluminense,ATA,3.266666666666667,4.566666666666667
242,Luiz Otávio,72359,Ceará,ZAG,0.7,-1.9
243,Luís Castro,88037,Botafogo,TEC,4.096666666666667,4.94
244,Luís Oyama,97908,Botafogo,MEI,3.1333333333333333,4.133333333333334
245,Lázaro,110193,Flamengo,MEI,3.6,1.7333333333333334
246,Léo,85626,São Paulo,ZAG,3.1,-0.55
