,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_mandante
1300,Léo Cittadini,70986,Athletico-PR,MEI,1.45,1.85,Santos,mandante,5.333333333333333,3.3916666666666666
1301,Víctor Cuesta,79113,Botafogo,ZAG,3.75,2.9250000000000003,Goiás,mandante,3.0,3.375
1302,Vagner Mancini,39850,América-MG,TEC,5.113333333333333,2.745,Cuiabá,mandante,1.625,3.3691666666666666
1303,Vitor Roque,114802,Athletico-PR,ATA,1.4000000000000001,4.266666666666667,Santos,mandante,5.333333333333333,3.3666666666666667
1304,Marcelo Cirino,69022,Athletico-PR,ATA,1.3666666666666665,2.3,Santos,mandante,5.333333333333333,3.3499999999999996
1305,Murilo,97653,Palmeiras,ZAG,4.425,5.433333333333334,Atlético-MG,mandante,2.25,3.3375
1306,Lucas Evangelista,84674,Bragantino,MEI,3.4000000000000004,4.633333333333334,Internacional,mandante,3.25,3.325
1307,Iury Castilho,89695,Ceará,ATA,1.9,2.6,Coritiba,mandante,4.75,3.325
1308,Eduardo,91688,Avaí,MEI,3.3,1.725,São Paulo,mandante,3.25,3.275
1309,Alerrandro,101715,Bragantino,ATA,3.266666666666666,1.4000000000000001,Internacional,mandante,3.25,3.258333333333333
1310,Richardson,86536,Ceará,MEI,1.6,2.1,Coritiba,mandante,4.75,3.175
1311,Pablo,69138,Athletico-PR,ATA,1.0,5.199999999999999,Santos,mandante,5.333333333333333,3.1666666666666665
1312,Patric,60969,América-MG,LAT,4.699999999999999,2.0,Cuiabá,mandante,1.625,3.1624999999999996
1313,Bryan García,110013,Athletico-PR,MEI,0.9333333333333335,0.0,Santos,mandante,5.333333333333333,3.1333333333333333
1314,Weverton,71631,Palmeiras,GOL,4.0,6.5,Atlético-MG,mandante,2.25,3.125
1315,Thiago Maia,89637,Flamengo,MEI,1.5666666666666667,1.7000000000000002,Fortaleza,mandante,4.666666666666667,3.1166666666666667
1316,Pedrinho,100103,América-MG,ATA,4.6,0.74,Cuiabá,mandante,1.625,3.1125
1317,Luís Oyama,97908,Botafogo,MEI,3.1333333333333333,4.0,Goiás,mandante,3.0,3.0666666666666664
1318,Hugo,109668,Botafogo,LAT,3.0999999999999996,3.0,Goiás,mandante,3.0,3.05
1319,Willian Arão,78478,Flamengo,MEI,1.3999999999999997,6.4,Fortaleza,mandante,4.666666666666667,3.033333333333333
1320,Bruno Cortez,72079,Avaí,LAT,2.8,1.575,São Paulo,mandante,3.25,3.025
1321,Artur,95799,Bragantino,ATA,2.8,4.55,Internacional,mandante,3.25,3.025
1322,Bruno Pacheco,90061,Ceará,LAT,1.2333333333333332,3.5250000000000004,Coritiba,mandante,4.75,2.9916666666666667
1323,Marlos,50879,Athletico-PR,MEI,0.6499999999999999,0.5,Santos,mandante,5.333333333333333,2.9916666666666663
1324,Lomónaco,113203,Bragantino,ZAG,2.7,1.9,Internacional,mandante,3.25,2.975
1325,Erick,98022,Athletico-PR,MEI,0.6,1.7,Santos,mandante,5.333333333333333,2.9666666666666663
1326,Victor Luis,86410,Ceará,LAT,1.15,0.9500000000000001,Coritiba,mandante,4.75,2.95
1327,Gustavo Sauer,85993,Botafogo,ATA,2.9,1.15,Goiás,mandante,3.0,2.95
