,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
316,"{'DS': 10, 'FC': 4, 'FD': 1, 'FS': 5, 'PI': 50}",82628,16,356,2,5,0.0,3.9,0.0,2.37,4,,tinga,Tinga,Tinga,Guilherme de Jesus da Silva,https://s.glbimg.com/es/sde/f/2022/02/25/5625a3af4c995f2795c36c880eaf1e9d_FORMATO.png,Contundido
317,"{'A': 1, 'CA': 3, 'DS': 6, 'FC': 17, 'FD': 4, 'FF': 6, 'FS': 12, 'FT': 1, 'G': 2, 'I': 6, 'PI': 24, 'PS': 1}",84817,16,356,5,5,0.0,7.73,0.0,3.67,10,,robson,Robson,Robson,Robson dos Santos Fernandes,https://s.glbimg.com/es/sde/f/2022/02/25/6d625807fa7a6d37492ec7d37c654dc8_FORMATO.png,Contundido
318,"{'CA': 1, 'FC': 2, 'FD': 1, 'FT': 1, 'G': 1, 'PI': 10}",38162,16,266,5,6,-0.4,3.94,-1.32,1.6,6,,fred,Fred,Fred,Frederico Chaves Guedes,https://s.glbimg.com/es/sde/f/2022/04/20/9685a046f69fb11824832142e8c5f364_FORMATO.png,Nulo
319,"{'CA': 5, 'DS': 23, 'FC': 25, 'FD': 1, 'FF': 3, 'FS': 14, 'I': 1, 'PC': 1, 'PI': 38}",101601,16,290,4,7,2.1,3.24,0.15,1.73,12,,caio,Caio,Caio,Caio Vinicius da Conceição,https://s.glbimg.com/es/sde/f/2022/03/10/a34434b7c2c45f0720de34fdeaf8fca5_FORMATO.png,Provável
320,"{'CA': 1, 'DS': 19, 'FC': 12, 'FD': 1, 'FF': 2, 'FS': 1, 'PI': 33}",89637,16,262,4,7,3.5,4.74,0.09,1.65,11,,thiago-maia,Thiago Maia,T. Maia,Thiago Maia Alencar,https://s.glbimg.com/es/sde/f/2022/04/25/5ffefa1d5a1967debcc7f42bdaacdd9e_FORMATO.png,Provável
321,"{'CA': 2, 'CV': 1, 'DS': 5, 'FC': 7, 'FD': 1, 'FF': 2, 'FS': 6, 'PI': 42, 'SG': 1}",101597,16,280,2,6,0.0,2.74,0.0,1.37,4,,ramon,Ramon,Ramon,Ramon Ramos Lima,https://s.glbimg.com/es/sde/f/2022/05/10/5ffd61aa5589cf28ad0820b15df29250_FORMATO.png,Nulo
322,"{'A': 2, 'CA': 3, 'DS': 22, 'FC': 21, 'FD': 3, 'FF': 6, 'FS': 17, 'FT': 1, 'PI': 138, 'SG': 2}",94968,16,356,2,6,0.0,5.57,0.0,3.6,12,,juninho-capixaba,Juninho Capixaba,J. Capixaba,Luis Antônio da Rocha Júnior,https://s.glbimg.com/es/sde/f/2022/02/25/404f0a454cb039f59334f747add17f5e_FORMATO.png,Nulo
323,{},114790,16,262,3,6,0.0,2.0,0.0,0.0,0,,cleiton,Cleiton,Cleiton,Cleiton Santana dos Santos,https://s.glbimg.com/es/sde/f/2022/04/25/7291f9193cdbd0c264bbbf2610f2a5fa_FORMATO.png,Nulo
324,"{'A': 1, 'CA': 1, 'DS': 4, 'FC': 5, 'FD': 2, 'FF': 5, 'FS': 13, 'G': 2, 'I': 1, 'PI': 28}",84523,16,356,5,6,2.0,3.65,-0.6,4.16,8,,romarinho,Romarinho,Romarinho,José Romário Silva de Souza,https://s.glbimg.com/es/sde/f/2022/05/12/ccaf4552cbd0363c0a3fceefa2bf00bf_FORMATO.png,Nulo
325,"{'CA': 3, 'CV': 1, 'DS': 4, 'FC': 6, 'FD': 1, 'FS': 2, 'PC': 1, 'PI': 15}",105585,16,264,4,6,0.5,0.88,0.12,-0.47,7,,roni,Roni,Roni,Roni Medeiros de Moura,https://s.glbimg.com/es/sde/f/2022/04/27/9ac611db40c304ebc00cbde504907104_FORMATO.png,Nulo
