,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,slug,apelido,apelido_abreviado,nome,foto,status
487,"{'FC': 3, 'FF': 1, 'FS': 2, 'PI': 6}",100987,10,285,4,6,0.0,1.2,0.0,-0.1,3,nonato,Nonato,Nonato,Gustavo Nonato Santana,https://s.glbimg.com/es/sde/f/2021/05/02/f2ad0d803ff2843adbeb6d33e49f6b95_FORMATO.png,Nulo
488,"{'CA': 1, 'DS': 18, 'FC': 6, 'FD': 1, 'FS': 6, 'G': 1, 'PI': 53, 'SG': 3}",78478,10,262,3,7,12.7,11.92,1.75,4.36,8,willian-arao,Willian Arão,W. Arão,Willian Souza Arão da Silva,https://s.glbimg.com/es/sde/f/2021/05/01/5696091eeba19b79c51d753792490f14_FORMATO.png,Provável
489,"{'A': 1, 'DS': 3, 'FC': 4, 'FD': 4, 'FF': 5, 'FS': 11, 'G': 2, 'PI': 22}",94583,10,262,5,7,2.0,11.83,-0.18,5.68,6,pedro,Pedro,Pedro,Pedro Guilherme Abreu dos Santos,https://s.glbimg.com/es/sde/f/2021/05/01/20b99c4e035a4e82f9278d0931b0528e_FORMATO.png,Provável
490,{},107236,10,275,2,6,0.0,1.0,0.0,0.0,0,vanderlan,Vanderlan,Vanderlan,Vanderlan Barbosa da Silva,https://s.glbimg.com/es/sde/f/2021/05/08/832b61437afe0f623b06eb97d190efba_FORMATO.png,Nulo
491,{},107238,10,275,5,6,0.0,1.0,0.0,0.0,0,marcelinho,Marcelinho,Marcelinho,Marcelo José de Lima Filho,https://s.glbimg.com/es/sde/f/2021/05/08/f01d58ebd3e71dda3cb9db476030bb07_FORMATO.png,Nulo
492,{},70934,10,356,3,6,0.0,4.0,0.0,0.0,0,jackson,Jackson,Jackson,Jackson de Souza,https://s.glbimg.com/es/sde/f/2021/05/05/d3fba7683e85f42572514618c15970cd_FORMATO.png,Nulo
493,"{'DE': 14, 'GS': 7}",100830,10,284,1,6,2.0,4.45,-0.13,1.75,4,brenno,Brenno,Brenno,Brenno Oliveira Fraga Costa,https://s.glbimg.com/es/sde/f/2021/04/29/e16b539c57cf5806702320f87765515e_FORMATO.png,Nulo
494,{},98289,10,284,5,6,0.0,5.0,0.0,0.0,0,churin,Churín,Churín,Diego Churín Puyo,https://s.glbimg.com/es/sde/f/2021/04/29/3ca604f4f106be8f172a2fd5bb45fb49_FORMATO.png,Nulo
495,"{'DS': 2, 'FD': 1, 'FF': 7, 'FS': 6, 'PI': 34}",98832,10,284,4,2,1.0,4.85,-0.44,1.2,7,jean-pyerre,Jean Pyerre,J. Pyerre,Jean Pyerre Casagrande Silveira Correa,https://s.glbimg.com/es/sde/f/2021/04/29/63f18a30bf5df5e733309a9fa44d66ca_FORMATO.png,Dúvida
496,"{'A': 1, 'CA': 3, 'DS': 22, 'FC': 18, 'FD': 5, 'FF': 5, 'FS': 8, 'G': 1, 'PI': 89}",92193,10,315,4,3,-3.1,5.11,-1.11,2.52,10,ravanelli,Ravanelli,Ravanelli,Ravanelli Ferreira dos Santos,https://s.glbimg.com/es/sde/f/2021/03/25/32c4a3b817e7805868a9a21b9560fc15_FORMATO.png,Suspenso
497,{},110603,10,275,5,6,0.0,1.0,0.0,0.0,0,pedro-acacio,Pedro Acácio,P. Acácio,Pedro Acácio Monteiro da Silva,https://s.glbimg.com/es/sde/f/2021/05/08/21625fc7d209255d0d90d37d9b92d770_FORMATO.png,Nulo
498,"{'FF': 1, 'PI': 2}",95058,10,277,2,7,0.0,2.4,0.0,0.6,1,moraes,Moraes,Moraes,Onitlasi Júnior de Moraes Rodrigues,https://s.glbimg.com/es/sde/f/2021/05/27/ec9030b675aeeef45514c92fd70d9ccc_FORMATO.png,Provável
499,{},112567,10,275,5,6,0.0,1.0,0.0,0.0,0,newton,Newton ,Newton ,Newton Aubrey Williams Richards,https://s.glbimg.com/es/sde/f/2021/03/24/35e5f2987314f0281165d2395eeb86c0_FORMATO.jpeg,Nulo
500,{},107797,10,284,4,6,0.0,2.0,0.0,0.0,0,pedro-lucas,Pedro Lucas,P. Lucas,Pedro Lucas Tapias Obermuller,https://s.glbimg.com/es/sde/f/2021/04/29/1062520c67eb0ebc7a0407cbaa1aaba2_FORMATO.png,Nulo
501,"{'DS': 4, 'FC': 2, 'FD': 2, 'FF': 1, 'FS': 3, 'I': 1, 'PI': 14}",106681,10,284,5,6,2.7,1.79,0.54,1.16,5,leo-pereira,Léo Pereira,L. Pereira,Leonardo Augusto dos Santos Pereira,https://s.glbimg.com/es/sde/f/2021/04/29/e154642facb37bf432812b79073d04dc_FORMATO.png,Nulo
502,{},111759,10,275,5,6,0.0,1.0,0.0,0.0,0,giovani,Giovani,Giovani,Giovani Henrique Amorim da Silva,https://s.glbimg.com/es/sde/f/2021/05/12/23eb0da8dd7617e2a4b7f8fcec2a625e_FORMATO.jpeg,Nulo
503,{},86143,10,373,3,6,0.0,3.0,0.0,0.0,0,wanderson,Wanderson,Wanderson,Wanderson Santos Pereira,https://s.glbimg.com/es/sde/f/2021/07/09/bc01d57ef6a6265332e638ba940f078f_FORMATO.png,Nulo
504,"{'DE': 31, 'FS': 2, 'GS': 9, 'SG': 1}",96468,10,285,1,7,1.0,5.35,-1.05,3.5,8,daniel,Daniel,Daniel,Daniel de Sousa Brito,https://s.glbimg.com/es/sde/f/2020/02/27/222ec98ac489a4b1ce5063bdde3d208e_FORMATO.png,Provável
505,"{'DS': 13, 'FC': 16, 'FD': 6, 'FF': 8, 'FS': 18, 'I': 1, 'PI': 45}",87929,10,356,4,7,2.9,7.3,0.15,2.51,9,matheus-vargas,Matheus Vargas,M. Vargas,Matheus de Vargas,https://s.glbimg.com/es/sde/f/2021/05/05/1a9f8320b5fbcce47ac1873b98ff85e6_FORMATO.png,Provável
506,"{'DS': 3, 'PI': 4}",100842,10,284,3,2,2.8,2.05,0.1,1.3,2,ruan,Ruan,Ruan,Ruan Tressoldi Netto,https://s.glbimg.com/es/sde/f/2021/04/29/17ef55c98486bbcffb7926f375d147f7_FORMATO.png,Dúvida
507,"{'CA': 1, 'DS': 3, 'FC': 9, 'FD': 2, 'FF': 1, 'FS': 4, 'PI': 28}",106371,10,284,4,6,0.0,1.09,0.0,-0.37,3,jhonata-robert,Jhonata Robert,J. Robert,Jhonata Robert Alves da Silva,https://s.glbimg.com/es/sde/f/2020/07/19/9256a4c13ab8e1525bfbad3f5eb5d99d_FORMATO.png,Nulo
508,{},107228,10,275,3,6,0.0,1.0,0.0,0.0,0,henri,Henri,Henri,Henri Marinho dos Santos,https://s.glbimg.com/es/sde/f/2021/04/30/66d51b73002178f853deecbbd98ecee4_FORMATO.png,Nulo
509,"{'CA': 2, 'DS': 8, 'FC': 7, 'FS': 2, 'G': 1, 'PI': 16}",107750,10,284,2,2,-2.5,7.3,-0.44,1.58,5,vanderson,Vanderson,Vanderson,Vanderson de Oliveira Campos,https://s.glbimg.com/es/sde/f/2021/04/29/7e1be4b535a30128fdd5980f0137732a_FORMATO.png,Dúvida
510,{},77774,10,373,6,7,1.67,9.27,-0.86,3.79,9,eduardo-barroca,Eduardo Barroca,E. Barroca,Eduardo de Souza Barroca,https://s.glbimg.com/es/sde/f/2021/05/27/84c352fcf42b8b3ce2b785d0d7be7ea0_FORMATO.png,Provável
511,"{'DS': 3, 'FC': 3, 'FD': 2, 'FF': 4, 'FS': 2, 'G': 1, 'I': 2, 'PI': 8}",111813,10,284,5,6,2.2,7.53,0.32,1.79,8,ricardinho,Ricardinho,Ricardinho,Ricardo Viana Filho,https://s.glbimg.com/es/sde/f/2021/04/29/5e395ce3ae5e1be4b03d8f81a172d26b_FORMATO.png,Nulo
512,"{'DS': 1, 'FC': 1, 'PI': 4}",104593,10,284,4,7,0.0,3.06,0.0,0.05,2,darlan,Darlan,Darlan,Darlan Pereira Mendes,https://s.glbimg.com/es/sde/f/2021/04/29/99dc7623a187ad536c23a27377d6e761_FORMATO.png,Provável
513,"{'A': 1, 'FC': 1, 'FD': 1, 'FF': 1, 'FS': 3, 'PI': 9}",106820,10,284,5,6,0.0,6.35,0.0,2.37,3,leo-chu,Léo Chú,L. Chú,Leonardo Alves Chú Franco,https://s.glbimg.com/es/sde/f/2021/04/29/80d6e2357b271867f5c8e1c21420e5e1_FORMATO.png,Nulo
